反復回数n,x1,f(x1)
781,0.781000,-0.95739003
782,0.782000,-0.95540610
783,0.783000,-0.95342309
784,0.784000,-0.95144100
785,0.785000,-0.94945983
786,0.786000,-0.94747958
787,0.787000,-0.94550024
788,0.788000,-0.94352180
789,0.789000,-0.94154428
790,0.790000,-0.93956765
791,0.791000,-0.93759192
792,0.792000,-0.93561709
793,0.793000,-0.93364315
794,0.794000,-0.93167010
795,0.795000,-0.92969793
796,0.796000,-0.92772665
797,0.797000,-0.92575624
798,0.798000,-0.92378671
799,0.799000,-0.92181805
800,0.800000,-0.91985026
801,0.801000,-0.91788334
802,0.802000,-0.91591728
803,0.803000,-0.91395207
804,0.804000,-0.91198773
805,0.805000,-0.91002424
806,0.806000,-0.90806159
807,0.807000,-0.90609980
808,0.808000,-0.90413885
809,0.809000,-0.90217874
810,0.810000,-0.90021946
811,0.811000,-0.89826103
812,0.812000,-0.89630342
813,0.813000,-0.89434664
814,0.814000,-0.89239069
815,0.815000,-0.89043556
816,0.816000,-0.88848125
817,0.817000,-0.88652776
818,0.818000,-0.88457508
819,0.819000,-0.88262321
820,0.820000,-0.88067215
821,0.821000,-0.87872189
822,0.822000,-0.87677244
823,0.823000,-0.87482378
824,0.824000,-0.87287592
825,0.825000,-0.87092886
826,0.826000,-0.86898258
827,0.827000,-0.86703710
828,0.828000,-0.86509240
829,0.829000,-0.86314848
830,0.830000,-0.86120534
831,0.831000,-0.85926298
832,0.832000,-0.85732139
833,0.833000,-0.85538057
834,0.834000,-0.85344052
835,0.835000,-0.85150124
836,0.836000,-0.84956272
837,0.837000,-0.84762496
838,0.838000,-0.84568795
839,0.839000,-0.84375171
840,0.840000,-0.84181621
841,0.841000,-0.83988147
842,0.842000,-0.83794747
843,0.843000,-0.83601422
844,0.844000,-0.83408171
845,0.845000,-0.83214993
846,0.846000,-0.83021890
847,0.847000,-0.82828860
848,0.848000,-0.82635903
849,0.849000,-0.82443019
850,0.850000,-0.82250208
851,0.851000,-0.82057469
852,0.852000,-0.81864802
853,0.853000,-0.81672207
854,0.854000,-0.81479684
855,0.855000,-0.81287232
856,0.856000,-0.81094851
857,0.857000,-0.80902542
858,0.858000,-0.80710303
859,0.859000,-0.80518134
860,0.860000,-0.80326036
861,0.861000,-0.80134007
862,0.862000,-0.79942049
863,0.863000,-0.79750160
864,0.864000,-0.79558340
865,0.865000,-0.79366589
866,0.866000,-0.79174907
867,0.867000,-0.78983293
868,0.868000,-0.78791748
869,0.869000,-0.78600271
870,0.870000,-0.78408861
871,0.871000,-0.78217520
872,0.872000,-0.78026246
873,0.873000,-0.77835039
874,0.874000,-0.77643898
875,0.875000,-0.77452825
876,0.876000,-0.77261818
877,0.877000,-0.77070878
878,0.878000,-0.76880003
879,0.879000,-0.76689195
880,0.880000,-0.76498452
881,0.881000,-0.76307774
882,0.882000,-0.76117162
883,0.883000,-0.75926614
884,0.884000,-0.75736132
885,0.885000,-0.75545714
886,0.886000,-0.75355360
887,0.887000,-0.75165070
888,0.888000,-0.74974845
889,0.889000,-0.74784683
890,0.890000,-0.74594584
891,0.891000,-0.74404549
892,0.892000,-0.74214577
893,0.893000,-0.74024668
894,0.894000,-0.73834822
895,0.895000,-0.73645038
896,0.896000,-0.73455316
897,0.897000,-0.73265657
898,0.898000,-0.73076059
899,0.899000,-0.72886523
900,0.900000,-0.72697048
901,0.901000,-0.72507635
902,0.902000,-0.72318283
903,0.903000,-0.72128992
904,0.904000,-0.71939761
905,0.905000,-0.71750592
906,0.906000,-0.71561482
907,0.907000,-0.71372432
908,0.908000,-0.71183443
909,0.909000,-0.70994513
910,0.910000,-0.70805643
911,0.911000,-0.70616832
912,0.912000,-0.70428080
913,0.913000,-0.70239388
914,0.914000,-0.70050754
915,0.915000,-0.69862179
916,0.916000,-0.69673662
917,0.917000,-0.69485204
918,0.918000,-0.69296804
919,0.919000,-0.69108461
920,0.920000,-0.68920177
921,0.921000,-0.68731949
922,0.922000,-0.68543780
923,0.923000,-0.68355667
924,0.924000,-0.68167612
925,0.925000,-0.67979613
926,0.926000,-0.67791672
927,0.927000,-0.67603786
928,0.928000,-0.67415957
929,0.929000,-0.67228184
930,0.930000,-0.67040468
931,0.931000,-0.66852807
932,0.932000,-0.66665201
933,0.933000,-0.66477651
934,0.934000,-0.66290157
935,0.935000,-0.66102718
936,0.936000,-0.65915333
